Creation;2013/12/15
Compteur;271067095836;Isousc;30
Heure;Papp;Base
00:00:02;00091;004312814
00:00:05;00092;
00:00:08;00092;
00:00:10;00092;
00:00:13;00092;
00:00:16;00092;
00:00:18;00092;
00:00:21;00092;
00:00:24;00092;
00:00:26;00092;
00:00:29;00092;
00:00:31;00092;
00:00:34;00092;
00:00:37;00092;
00:00:39;00090;
00:00:42;00092;
00:00:45;00091;
00:00:47;00090;
00:00:50;00090;
00:00:53;00092;
00:00:55;00090;
00:00:58;00092;
00:01:01;00092;
00:01:03;00092;
00:01:05;00092;
00:01:06;00092;
00:01:08;00092;
00:01:09;00090;
00:01:10;00090;
00:01:12;00090;
00:01:13;00092;
00:01:15;00092;
00:01:16;00092;
00:01:17;00092;
00:01:19;00091;
00:01:20;00092;
00:01:22;00092;
00:01:23;00092;
00:01:24;00092;
00:01:26;00092;
00:01:27;00091;
00:01:29;00090;
00:01:30;00092;
00:01:31;00092;
00:01:33;00090;
00:01:34;00090;
00:01:36;00092;
00:01:37;00090;
00:01:38;00091;
00:01:40;00091;
00:01:41;00091;
00:01:43;00091;
00:01:44;00092;
00:01:45;00092;
00:01:47;00092;
00:01:48;00092;
00:01:50;00092;
00:01:51;00092;
00:01:52;00092;
00:01:54;00092;
00:01:55;00090;
00:01:57;00091;
00:01:58;00092;
00:01:59;00091;
00:02:01;00092;
00:02:02;00092;
00:02:04;00090;
00:02:05;00091;
00:02:06;00090;
00:02:08;00091;
00:02:09;00091;
00:02:11;00091;
00:02:12;00091;
00:02:13;00091;
00:02:15;00091;
00:02:16;00091;
00:02:18;00092;
00:02:19;00090;
00:02:20;00090;
00:02:22;00090;
00:02:23;00092;
00:02:25;00092;
00:02:26;00091;
00:02:27;00092;
00:02:29;00090;
00:02:30;00092;
00:02:32;00091;
00:02:33;00091;
00:02:34;00090;
00:02:36;00090;
00:02:37;00090;
00:02:39;00090;
00:02:40;00090;
00:02:41;00091;
00:02:43;00092;
00:02:44;00092;
00:02:46;00092;
00:02:47;00092;
00:02:48;00092;
00:02:50;00091;
00:02:51;00092;
00:02:53;00090;
00:02:54;00090;
00:02:55;00090;
00:02:57;00091;
00:02:58;00092;
00:03:00;00092;
00:03:01;00092;
00:03:02;00092;
00:03:04;00092;
00:03:05;00092;
00:03:07;00092;
00:03:08;00090;
00:03:09;00092;
00:03:11;00090;
00:03:12;00092;
00:03:14;00091;
00:03:15;00090;
00:03:16;00092;
00:03:18;00090;
00:03:19;00092;
00:03:21;00091;
00:03:22;00090;
00:03:23;00092;
00:03:25;00092;
00:03:26;00092;
00:03:28;00092;
00:03:29;00092;
00:03:30;00092;
00:03:32;00092;
00:03:33;00092;
00:03:35;00092;
00:03:36;00092;
00:03:37;00092;
00:03:39;00091;
00:03:40;00091;
00:03:42;00091;
00:03:43;00092;
00:03:44;00090;
00:03:46;00092;
00:03:47;00092;
00:03:49;00092;
00:03:50;00092;
00:03:51;00092;
00:03:53;00092;
00:03:54;00092;
00:03:56;00092;
00:03:57;00091;
00:03:58;00090;
00:04:00;00092;
00:04:01;00091;
00:04:03;00092;
00:04:04;00090;
00:04:05;00092;
00:04:07;00092;
00:04:08;00092;
00:04:10;00092;
00:04:11;00090;
00:04:12;00092;
00:04:14;00092;
00:04:15;00092;
00:04:17;00092;
00:04:18;00092;
00:04:19;00092;
00:04:21;00092;
00:04:22;00092;
00:04:24;00090;
00:04:25;00091;
00:04:26;00091;
00:04:28;00092;
00:04:29;00092;
00:04:31;00090;
00:04:32;00090;
00:04:33;00092;
00:04:35;00091;
00:04:36;00092;
00:04:38;00092;
00:04:39;00090;
00:04:40;00090;
00:04:42;00090;
00:04:43;00090;
00:04:45;00090;
00:04:46;00092;
00:04:47;00090;
00:04:49;00090;
00:04:50;00091;
00:04:52;00091;
00:04:53;00092;
00:04:54;00090;
00:04:56;00091;
00:04:57;00092;
00:04:59;00092;
00:05:00;00090;
00:05:01;00090;
00:05:03;00091;
00:05:04;00090;
00:05:06;00090;
00:05:07;00090;
00:05:08;00090;
00:05:10;00090;
00:05:11;00090;
00:05:13;00090;
00:05:14;00092;
00:05:15;00091;
00:05:17;00090;
00:05:18;00091;
00:05:20;00091;
00:05:21;00091;
00:05:22;00091;
00:05:24;00091;
00:05:25;00090;
00:05:27;00092;
00:05:28;00092;
00:05:29;00092;
00:05:31;00092;
00:05:32;00092;
00:05:34;00092;
00:05:35;00092;
00:05:36;00091;
00:05:38;00090;
00:05:39;00092;
00:05:41;00090;
00:05:42;00090;
00:05:43;00090;
00:05:45;00092;
00:05:46;00090;
00:05:48;00090;
00:05:49;00092;
00:05:50;00090;
00:05:52;00090;
00:05:53;00091;
00:05:55;00091;
00:05:56;00091;
00:05:57;00091;
00:05:59;00091;
00:06:00;00091;
00:06:02;00092;
00:06:03;00090;
00:06:04;00091;
00:06:06;00091;
00:06:07;00091;
00:06:09;00090;
00:06:10;00090;
00:06:11;00091;
00:06:13;00090;
00:06:14;00092;
00:06:16;00092;
00:06:17;00091;
00:06:18;00091;
00:06:20;00091;
00:06:21;00091;
00:06:23;00091;
00:06:24;00091;
00:06:25;00091;
00:06:27;00092;
00:06:28;00090;
00:06:30;00090;
00:06:31;00090;
00:06:32;00090;
00:06:34;00091;
00:06:35;00090;
00:06:37;00091;
00:06:38;00092;
00:06:39;00091;
00:06:41;00090;
00:06:42;00090;
00:06:44;00090;
00:06:45;00090;
00:06:46;00090;
00:06:48;00090;
00:06:49;00090;
00:06:51;00091;
00:06:52;00092;
00:06:53;00092;
00:06:55;00092;
00:06:56;00090;
00:06:58;00092;
00:06:59;00091;
00:07:00;00090;
00:07:02;00090;
00:07:03;00090;
00:07:05;00091;
00:07:06;00090;
00:07:07;00090;
00:07:09;00090;
00:07:10;00090;
00:07:12;00090;
00:07:13;00090;
00:07:14;00090;
00:07:16;00092;
00:07:17;00090;
00:07:19;00092;
00:07:20;00090;
00:07:21;00091;
00:07:23;00090;
00:07:24;00092;
00:07:26;00091;
00:07:27;00091;
00:07:28;00092;
00:07:30;00091;
00:07:31;00091;
00:07:33;00090;
00:07:34;00090;
00:07:35;00090;
00:07:37;00090;
00:07:38;00090;
00:07:40;00090;
00:07:41;00092;
00:07:42;00092;
00:07:44;00092;
00:07:45;00092;
00:07:47;00090;
00:07:48;00090;
00:07:49;00090;
00:07:51;00090;
00:07:52;00091;
00:07:54;00092;
00:07:55;00090;
00:07:56;00091;
00:07:58;00091;
00:07:59;00091;
00:08:01;00091;
00:08:02;00091;
00:08:03;00091;
00:08:05;00090;
00:08:06;00092;
00:08:08;00090;
00:08:09;00090;
00:08:11;00092;
00:08:12;00091;
00:08:13;00090;
00:08:15;00091;
00:08:16;00091;
00:08:18;00091;
00:08:19;00091;
00:08:20;00091;
00:08:22;00092;
00:08:23;00092;
00:08:25;00092;
00:08:26;00092;
00:08:27;00092;
00:08:29;00092;
00:08:30;00090;
00:08:32;00091;
00:08:33;00090;
00:08:34;00091;
00:08:36;00092;
00:08:37;00091;
00:08:39;00090;
00:08:40;00090;
00:08:41;00091;
00:08:43;00090;
00:08:44;00090;
00:08:46;00092;
00:08:47;00093;
00:08:48;00093;
00:08:50;00093;
00:08:51;00093;
00:08:53;00093;
00:08:54;00093;
00:08:55;00091;
00:08:57;00090;
00:08:58;00091;
00:09:00;00092;
00:09:01;00092;
00:09:02;00090;
00:09:04;00090;
00:09:05;00092;
00:09:07;00092;
00:09:08;00091;
00:09:09;00091;
00:09:11;00090;
00:09:12;00090;
00:09:14;00090;
00:09:15;00090;
00:09:16;00090;
00:09:18;00090;
00:09:19;00090;
00:09:21;00092;
00:09:22;00090;
00:09:23;00090;
00:09:25;00090;
00:09:26;00092;
00:09:28;00090;
00:09:29;00091;
00:09:30;00090;
