Creation;2010/10/10
Compteur;271067095836;Isousc;
Heure;Papp;Base
17:41:45;00582;004308288
17:41:48;00582
17:41:49;00582
17:41:50;00585
17:41:52;00584
17:41:53;00584
17:41:55;00581
17:41:56;00581
17:41:57;00582
17:41:59;00582
17:42:00;00596
17:42:02;00585
17:42:03;00584
17:42:04;00589
17:42:06;00589
17:42:07;00589
17:42:09;00589
17:42:10;00589
17:42:11;00589
17:42:13;00606
17:42:14;00582
17:42:16;00586
17:42:17;00582
17:42:18;00582
17:42:20;00583
17:42:21;00583
17:42:23;00583
17:42:24;00582
17:42:25;00582
17:42:27;00583
17:42:28;00586
17:42:30;00598
17:42:31;00598
17:42:32;00598
17:42:34;00598
17:42:35;00598
17:42:37;00598
17:42:38;00583
17:42:39;00582
17:42:41;00585
17:42:42;00578
17:42:44;00581
17:42:45;00579
17:42:46;00580
17:42:48;00582
17:42:49;00617
17:42:51;00577
17:42:52;00579
17:42:53;00579
17:42:55;00577
17:42:56;00577
17:42:58;00577
17:42:59;00577
17:43:00;00577
17:43:02;00577
17:43:03;00578
17:43:05;00578
17:43:06;00577
17:43:07;00577
17:43:09;00579
17:43:10;00578
17:43:12;00578
17:43:13;00575
17:43:14;00576
17:43:16;00575
17:43:17;00576
17:43:19;00575
17:43:20;00576
17:43:21;00576
17:43:23;00576
17:43:24;00576
17:43:26;00576
17:43:27;00587
17:43:28;00579
17:43:30;00579
17:43:31;00577
17:43:33;00575
17:43:34;00576
17:43:35;00576
17:43:37;00577
17:43:38;00578
17:43:40;00579
17:43:41;00579
17:43:42;00577
17:43:44;00578
17:43:45;00578
17:43:47;00578
17:43:48;00578
17:43:49;00578
17:43:51;00578
17:43:52;00605
17:43:54;00574
17:43:55;00572
17:43:56;00585
17:43:58;00567
17:43:59;00567
17:44:01;00569
17:44:02;00581
17:44:03;00578
17:44:05;00568
17:44:06;00579
17:44:08;00566
17:44:09;00565
17:44:10;00565
17:44:12;00565
17:44:13;00565
17:44:15;00565
17:44:16;00565
17:44:17;00572
17:44:19;00584
17:44:20;00567
17:44:22;00567
17:44:23;00567
17:44:24;00567
17:44:26;00569
17:44:27;00567
17:44:29;00568
17:44:30;00568
17:44:31;00567
17:44:33;00566
17:44:34;00567
17:44:36;00567
17:44:37;00567
17:44:38;00567
17:44:40;00567
17:44:41;00566
17:44:43;00567
17:44:44;00569
17:44:45;00564
17:44:47;00566
17:44:48;00567
17:44:50;00567
17:44:51;00567
17:44:52;00567
17:44:54;00567
17:44:55;00567
17:44:57;00567
17:44:58;00563
17:44:59;00563
17:45:01;00563
17:45:02;00563
17:45:04;00563
17:45:05;00563
17:45:06;00563
17:45:08;00562
17:45:09;00562
17:45:11;00568
17:45:12;00562
17:45:13;00586
17:45:15;00564
17:45:16;00563
17:45:18;00563
17:45:19;00564
17:45:20;00565
17:45:22;00562
17:45:23;00562
17:45:25;00562
17:45:26;00562
17:45:27;00562
17:45:29;00562
17:45:30;00562
17:45:32;00565
17:45:33;00563
17:45:34;00563
17:45:36;00563
17:45:37;00565
17:45:39;00563
17:45:40;00563
17:45:41;00563
17:45:43;00561
17:45:44;00560
17:45:46;00562
17:45:47;00562
17:45:49;00561
17:45:50;00561
17:45:51;00561
17:45:53;00561
17:45:54;00561
17:45:56;00561
17:45:57;00560
17:45:58;00562
17:46:00;00566
17:46:01;00562
17:46:03;00559
17:46:04;00567
17:46:05;00559
17:46:07;00560
